"sector_nicename","transferee_name","amount","blurb","sector","website","flag","region","URL"
"Banking ($1.1M)","Kuda Technologies Limited",441681,"Mobile banking app based in Africa","Banking","kuda.com",NA,"Europe","https://kuda.com/"
"Banking ($1.1M)","Majority AB",152726,"Mobile banking for non-citizens residing in the U.S.","Banking","majority.com",NA,"Europe","https://majority.com"
"Banking ($1.1M)","N26 GmbH",51126,"Mobile-first alternative bank","Banking","n26.comen-eu",NA,"Europe","https://n26.com/en-eu"
"Banking ($1.1M)","Neo Financial Technologies Inc.",349483,"Mobile-first alternative bank","Banking","neofinancial.com",NA,"North America","https://www.neofinancial.com/"
"Banking ($1.1M)","Skaleet SA F/K/A Tagpay SA",133964,"Backend finance software for banks","Banking","skaleet.comenabout-us",NA,"Europe","https://skaleet.com/en/about-us"
"Cryptocurrency & Stock ($1.4M)","Bitpanda GmbH",453693,"Cryptocurrency and stock trading app marketed to beginners","Cryptocurrency & Stock","bitpanda.comen",NA,"Europe","https://www.bitpanda.com/en"
"Cryptocurrency & Stock ($1.4M)","DEFI Holding PTE. Ltd.",118634,"Cryptocurrency trading platform","Cryptocurrency & Stock","vauld.com",NA,"Asia","https://www.vauld.com"
"Cryptocurrency & Stock ($1.4M)","Portofino Technologies AG",148019,"Software infrastructure for cryptocurrency","Cryptocurrency & Stock","portofino.tech",NA,"Europe","https://www.portofino.tech/"
"Cryptocurrency & Stock ($1.4M)","Scalable Capital GmbH",223832,"Stock trading app","Cryptocurrency & Stock","de.scalable.capitalen",NA,"Europe","https://de.scalable.capital/en"
"Cryptocurrency & Stock ($1.4M)","Shares S.A.S",137371,"Stock trading software","Cryptocurrency & Stock","shares.io",NA,"Europe","https://www.shares.io/"
"Cryptocurrency & Stock ($1.4M)","Webull Corporation",333005,"Online stock trading","Cryptocurrency & Stock","webullcorp.com",NA,"South America","https://www.webullcorp.com/"
"Cybersecurity ($0.7M)","Cyber Hunters Ltd.",135242,"Cybersecurity software for small companies","Cybersecurity","hunters.security",NA,"Middle East","https://www.hunters.security"
"Cybersecurity ($0.7M)","Orca Security Ltd.",239026,"Cybersecurity firm specializing in cloud security","Cybersecurity","orca.security",NA,"Middle East","https://orca.security/"
"Cybersecurity ($0.7M)","SNYK, Ltd",341712,"AI-first cybersecurity platform","Cybersecurity","snyk.io",NA,"Europe","https://snyk.io/"
"Education ($1.1M)","Paper Education Company Inc",873406,"Live tutoring for K-12 students","Education","paper.co",NA,"North America","https://paper.co/"
"Education ($1.1M)","The Power MBA",231645,"Online business masters program","Education","thepower.educationen",NA,"Europe","https://thepower.education/en"
"Fund ($2.8M)","Cross Ocean Aviation Fund | (Intl) DAC",2807638,"Investment fund","Fund",NA,NA,"Europe",NA
"Gen AI ($0.5M)","ADA Support, Inc.",192594,"AI customer service agents that automates responses to customer texts, emails, or phonecalls","Gen AI","ada.cx",NA,"North America","https://www.ada.cx/"
"Gen AI ($0.5M)","Svava Pte. Ltd.",133450,"AI coworking agents","Gen AI","svava.io","T","Asia","https://svava.io/"
"Gen AI ($0.5M)","Synthesia Limited",167368,"AI video generation","Gen AI","synthesia.io",NA,"Europe","https://www.synthesia.io/"
"Medicine & Biotech ($0.9M)","Barbara Sturm Molecular Cosmetics GmbH",235443,"Skincare and cosmetics products","Medicine & Biotech","drsturm.com",NA,"Europe","https://www.drsturm.com/"
"Medicine & Biotech ($0.9M)","Kry International AB",282096,"Telehealth software","Medicine & Biotech","kry.health",NA,"Europe","https://kry.health/"
